File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001YIX	bed narrowPeak	bed	narrowPeak	peaks	mm9	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001NOE/, /files/ENCFF001NOI/	233365	Michael Snyder, Stanford	b86e14f95ca15613a23c042b3128b5c0		https://www.encodeproject.org/files/ENCFF001YIX/@@download/ENCFF001YIX.bed.gz				archived	s3://encode-public/2012/08/01/07ba7ebd-741f-4cc5-b8da-e4d9a4cbfaea/ENCFF001YIX.narrowPeak.gz	Lab custom mm9	archived	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF929BUB	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		1	1_1							/files/ENCFF361ECJ/, /files/ENCFF074LDJ/, /files/ENCFF966YUS/	4553168	ENCODE Processing Pipeline	407f6b7cb89b0244f595b3b001a17a2a		https://www.encodeproject.org/files/ENCFF929BUB/@@download/ENCFF929BUB.bed.gz				released	s3://encode-public/2016/11/15/4bab2b2b-e98a-45f3-b7bf-4e895a2d5e5d/ENCFF929BUB.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF507SGS	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		2	2_1							/files/ENCFF074LDJ/, /files/ENCFF966YUS/, /files/ENCFF853JQH/	4552386	ENCODE Processing Pipeline	e2164f6f60ad9d2946ea736b0780570b		https://www.encodeproject.org/files/ENCFF507SGS/@@download/ENCFF507SGS.bed.gz				released	s3://encode-public/2016/11/15/9e1d72a3-157c-435a-b02b-ec1317089adc/ENCFF507SGS.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF629JWT	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF074LDJ/, /files/ENCFF361ECJ/, /files/ENCFF853JQH/, /files/ENCFF966YUS/	5087438	ENCODE Processing Pipeline	d0026c4bf11639515c3f526574268f6f		https://www.encodeproject.org/files/ENCFF629JWT/@@download/ENCFF629JWT.bed.gz				released	s3://encode-public/2016/11/15/717567fa-7f9f-42dd-af10-5d376f5eafbd/ENCFF629JWT.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF024QSW	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF507SGS/, /files/ENCFF929BUB/, /files/ENCFF629JWT/	305744	ENCODE Processing Pipeline	b423d9e26877d69ac0c6ea0f02c50448		https://www.encodeproject.org/files/ENCFF024QSW/@@download/ENCFF024QSW.bed.gz				released	s3://encode-public/2016/11/15/274311dd-1cc7-497a-b8ef-2009e2392648/ENCFF024QSW.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF377JTE	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	mm10	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF507SGS/, /files/ENCFF929BUB/, /files/ENCFF629JWT/	330877	ENCODE Processing Pipeline	883cffa8d63a81203d08d23ba268e5e4		https://www.encodeproject.org/files/ENCFF377JTE/@@download/ENCFF377JTE.bed.gz				released	s3://encode-public/2016/11/15/a12b3152-5eed-479a-b3be-9dcef5287e95/ENCFF377JTE.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF841ITZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		1	1_1							/files/ENCFF740TUE/, /files/ENCFF547MET/, /files/ENCFF525UYN/, /files/ENCFF224HWC/	111195	ENCODE Processing Pipeline	9bbb639084c7981ab886e0f867086d1f		https://www.encodeproject.org/files/ENCFF841ITZ/@@download/ENCFF841ITZ.bed.gz				released	s3://encode-public/2020/11/24/a2fc0141-5674-4794-a9a2-246a9820740b/ENCFF841ITZ.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF694ZCJ	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF740TUE/, /files/ENCFF224HWC/, /files/ENCFF547MET/, /files/ENCFF525UYN/, /files/ENCFF854EUI/	302533	ENCODE Processing Pipeline	4aeb893065b1b8d2e0288458097e0993		https://www.encodeproject.org/files/ENCFF694ZCJ/@@download/ENCFF694ZCJ.bed.gz				released	s3://encode-public/2020/11/24/910dec27-63fb-4d1e-bfbc-09d16dddd65c/ENCFF694ZCJ.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF738JLS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		2	2_1							/files/ENCFF547MET/, /files/ENCFF740TUE/, /files/ENCFF854EUI/, /files/ENCFF224HWC/	265969	ENCODE Processing Pipeline	b9dcfe57293c3e64a76c0c52d2cddb8c		https://www.encodeproject.org/files/ENCFF738JLS/@@download/ENCFF738JLS.bed.gz				released	s3://encode-public/2020/11/24/59233305-a69c-4048-b127-c5c14e91f3a5/ENCFF738JLS.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF404QDD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ERW	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZC3H11A-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF740TUE/, /files/ENCFF224HWC/, /files/ENCFF547MET/, /files/ENCFF525UYN/, /files/ENCFF854EUI/	333531	ENCODE Processing Pipeline	9fe3b9bcd0b0a96eb003c5a1b1df296c		https://www.encodeproject.org/files/ENCFF404QDD/@@download/ENCFF404QDD.bed.gz				released	s3://encode-public/2020/11/24/2ddd772b-bc58-40c4-bfb5-2559e90a9210/ENCFF404QDD.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF001YIY	bed narrowPeak	bed	narrowPeak	peaks	mm9	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001NOO/, /files/ENCFF001NOL/	459375	Michael Snyder, Stanford	2bd4b919b30e0feb593af9eb2698834f		https://www.encodeproject.org/files/ENCFF001YIY/@@download/ENCFF001YIY.bed.gz				archived	s3://encode-public/2012/08/01/5c9bbd91-248e-4cce-aaec-906cab2ab10f/ENCFF001YIY.narrowPeak.gz	Lab custom mm9	archived	low read depth, inconsistent platforms, low read length		
ENCFF338BOV	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		1	1_1							/files/ENCFF530IHQ/, /files/ENCFF966YUS/, /files/ENCFF074LDJ/	5317047	ENCODE Processing Pipeline	b4ab721e7117c4011d84345050f47a33		https://www.encodeproject.org/files/ENCFF338BOV/@@download/ENCFF338BOV.bed.gz				released	s3://encode-public/2016/11/15/6b8c089d-e276-4365-b2c1-2ada3c495878/ENCFF338BOV.bed.gz	ENCODE3 mm10	archived	low read depth, inconsistent platforms, low read length		
ENCFF869DLF	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		2	2_1							/files/ENCFF074LDJ/, /files/ENCFF966YUS/, /files/ENCFF203OQV/	5250036	ENCODE Processing Pipeline	fcd5150c368f1641d5a652d7f301d735		https://www.encodeproject.org/files/ENCFF869DLF/@@download/ENCFF869DLF.bed.gz				released	s3://encode-public/2016/11/15/d02bbf95-c571-4eec-95a4-dfe11ea5bc63/ENCFF869DLF.bed.gz	ENCODE3 mm10	archived	low read depth, inconsistent platforms, low read length		
ENCFF456SWU	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF074LDJ/, /files/ENCFF530IHQ/, /files/ENCFF966YUS/, /files/ENCFF203OQV/	6100853	ENCODE Processing Pipeline	a64f428a552680ef7ca0a77a524dc404		https://www.encodeproject.org/files/ENCFF456SWU/@@download/ENCFF456SWU.bed.gz				released	s3://encode-public/2016/11/15/75d7620d-0587-4821-ac47-e5f0c728db66/ENCFF456SWU.bed.gz	ENCODE3 mm10	archived	low read depth, inconsistent platforms, low read length		
ENCFF960DFA	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF869DLF/, /files/ENCFF547MET/, /files/ENCFF456SWU/, /files/ENCFF338BOV/	402653	ENCODE Processing Pipeline	ff3c208fff26d996b02d612786285fd1		https://www.encodeproject.org/files/ENCFF960DFA/@@download/ENCFF960DFA.bed.gz				released	s3://encode-public/2016/11/15/43a728a5-3a51-4ce2-9a78-0a93b0e59295/ENCFF960DFA.bed.gz	ENCODE3 mm10	archived	low read depth, inconsistent platforms, low read length		
ENCFF255MHA	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	mm10	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF869DLF/, /files/ENCFF547MET/, /files/ENCFF456SWU/, /files/ENCFF338BOV/	419921	ENCODE Processing Pipeline	5134699728e120b67018ddd72f2ad547		https://www.encodeproject.org/files/ENCFF255MHA/@@download/ENCFF255MHA.bed.gz				released	s3://encode-public/2016/11/15/dffa793d-79f5-4de8-8d41-00d9cbafc908/ENCFF255MHA.bed.gz	ENCODE3 mm10	archived	low read depth, inconsistent platforms, low read length		
ENCFF168LAY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		1	1_1							/files/ENCFF224HWC/, /files/ENCFF547MET/, /files/ENCFF435UJT/, /files/ENCFF740TUE/	253825	ENCODE Processing Pipeline	5d2b7fdc24c7222e6d2c065fcb217292		https://www.encodeproject.org/files/ENCFF168LAY/@@download/ENCFF168LAY.bed.gz				released	s3://encode-public/2020/11/24/5d41100d-5813-46dd-a962-e0209b01e593/ENCFF168LAY.bed.gz	ENCODE4 v1.6.1 mm10	released	low read depth, inconsistent platforms, low read length		
ENCFF181SQP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		2	2_1							/files/ENCFF921AFM/, /files/ENCFF547MET/, /files/ENCFF224HWC/, /files/ENCFF740TUE/	202916	ENCODE Processing Pipeline	8305b2acaf2e8a8ecfa51b46ab9c60a0		https://www.encodeproject.org/files/ENCFF181SQP/@@download/ENCFF181SQP.bed.gz				released	s3://encode-public/2020/11/24/1caba78c-b3d4-4a80-9e2a-5a0723a0c832/ENCFF181SQP.bed.gz	ENCODE4 v1.6.1 mm10	released	low read depth, inconsistent platforms, low read length		
ENCFF360VXR	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF224HWC/, /files/ENCFF740TUE/, /files/ENCFF547MET/, /files/ENCFF921AFM/, /files/ENCFF435UJT/	416685	ENCODE Processing Pipeline	501bd757d0b27cb58d150400a985ead7		https://www.encodeproject.org/files/ENCFF360VXR/@@download/ENCFF360VXR.bed.gz				released	s3://encode-public/2020/11/24/df8894e0-03b3-456b-a099-d49cd507a947/ENCFF360VXR.bed.gz	ENCODE4 v1.6.1 mm10	released	low read depth, inconsistent platforms, low read length		
ENCFF361ESB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ERV	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										ZNF384-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF224HWC/, /files/ENCFF740TUE/, /files/ENCFF547MET/, /files/ENCFF921AFM/, /files/ENCFF435UJT/	436717	ENCODE Processing Pipeline	24259d76fad091bdf1bf544d4292abe4		https://www.encodeproject.org/files/ENCFF361ESB/@@download/ENCFF361ESB.bed.gz				released	s3://encode-public/2020/11/24/83daf236-7eeb-4d84-b200-b974d1aadeb3/ENCFF361ESB.bed.gz	ENCODE4 v1.6.1 mm10	released	low read depth, inconsistent platforms, low read length		
ENCFF530LPO	bed narrowPeak	bed	narrowPeak	peaks	mm9	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF819NZN/, /files/ENCFF208VKG/	118691	Michael Snyder, Stanford	6de636631da2e8eacd3549f7a9f8cd8a		https://www.encodeproject.org/files/ENCFF530LPO/@@download/ENCFF530LPO.bed.gz				archived	s3://encode-public/2014/12/02/9ea3bec0-6f43-46a0-93ae-e408f6986a34/ENCFF530LPO.narrowPeak.gz	Lab custom mm9	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
ENCFF192FJH	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				1	1_1							/files/ENCFF074LDJ/, /files/ENCFF966YUS/, /files/ENCFF044NRI/	5149139	ENCODE Processing Pipeline	5a1fb99dc3b381ace11051635a63758f		https://www.encodeproject.org/files/ENCFF192FJH/@@download/ENCFF192FJH.bed.gz				released	s3://encode-public/2016/11/15/d8b633b7-4358-4805-a74a-280cb694063b/ENCFF192FJH.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
ENCFF098AAD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				2	2_1							/files/ENCFF966YUS/, /files/ENCFF074LDJ/, /files/ENCFF941EUJ/	5300932	ENCODE Processing Pipeline	45b620343d860186b72e60161ea1a96d		https://www.encodeproject.org/files/ENCFF098AAD/@@download/ENCFF098AAD.bed.gz				released	s3://encode-public/2016/11/15/54ec51d8-8aaa-4a3c-bb1d-0c1adf9593a9/ENCFF098AAD.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
