File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF241COX	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF930TPD/, /files/ENCFF356LFX/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF451YMU/, /files/ENCFF668MNS/, /files/ENCFF853FRF/	245396	ENCODE Processing Pipeline	484d5c05ce7de7ce13e706db6f192db0		https://www.encodeproject.org/files/ENCFF241COX/@@download/ENCFF241COX.bed.gz				released	s3://encode-public/2021/03/20/b852e169-bdcd-4119-82b1-bc13bb644671/ENCFF241COX.bed.gz	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF097ILH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1	1_1							/files/ENCFF356LFX/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF451YMU/, /files/ENCFF668MNS/, /files/ENCFF853FRF/	89751	ENCODE Processing Pipeline	5849319a202ed84a5e9e91802ddb659d		https://www.encodeproject.org/files/ENCFF097ILH/@@download/ENCFF097ILH.bed.gz				released	s3://encode-public/2021/03/20/7424085f-9e17-40a6-a92b-e68289c291bc/ENCFF097ILH.bed.gz	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF759CSN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF930TPD/, /files/ENCFF356LFX/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF451YMU/, /files/ENCFF668MNS/, /files/ENCFF853FRF/	363637	ENCODE Processing Pipeline	e901e3831d88094a4482489a0d2b6c84		https://www.encodeproject.org/files/ENCFF759CSN/@@download/ENCFF759CSN.bed.gz				released	s3://encode-public/2021/03/20/e29f1ecc-2484-45d2-8206-f03ce2f4adee/ENCFF759CSN.bed.gz	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF432XAH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	2	2_1, 2_2							/files/ENCFF930TPD/, /files/ENCFF356LFX/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF451YMU/, /files/ENCFF853FRF/	298569	ENCODE Processing Pipeline	65cc4c4239d640edb4902eab73eb2ce9		https://www.encodeproject.org/files/ENCFF432XAH/@@download/ENCFF432XAH.bed.gz				released	s3://encode-public/2021/03/20/ca52c0a5-bcbb-4bfa-a03c-93717e2e9b56/ENCFF432XAH.bed.gz	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF384XYJ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR771SNW	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-1000, 300-800	1	1_1							/files/ENCFF805INP/, /files/ENCFF727XHW/, /files/ENCFF243MTV/	6548403	ENCODE Processing Pipeline	39d5602f2d80385b584e10b809583d54		https://www.encodeproject.org/files/ENCFF384XYJ/@@download/ENCFF384XYJ.bed.gz				released	s3://encode-public/2016/12/03/c763ae03-1e96-456f-b9e3-8570897f537d/ENCFF384XYJ.bed.gz	ENCODE3 hg19	archived	low read length, borderline replicate concordance, low read depth		
ENCFF405QLV	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR771SNW	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-1000, 300-800	2	2_1							/files/ENCFF878IXK/, /files/ENCFF727XHW/, /files/ENCFF243MTV/	6293830	ENCODE Processing Pipeline	e10d332e424943b4d415dabef7a2ae74		https://www.encodeproject.org/files/ENCFF405QLV/@@download/ENCFF405QLV.bed.gz				released	s3://encode-public/2016/12/03/ff1b796f-1e1c-42b1-95c5-47181b1de1ee/ENCFF405QLV.bed.gz	ENCODE3 hg19	archived	low read length, borderline replicate concordance, low read depth		
ENCFF485GXE	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR771SNW	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-1000, 300-800	1, 2	1_1, 2_1							/files/ENCFF878IXK/, /files/ENCFF805INP/, /files/ENCFF727XHW/, /files/ENCFF243MTV/	6969377	ENCODE Processing Pipeline	619a34852504365f516636cc2bb47767		https://www.encodeproject.org/files/ENCFF485GXE/@@download/ENCFF485GXE.bed.gz				released	s3://encode-public/2016/12/03/75b0fb80-8b19-406f-9def-f953b492469f/ENCFF485GXE.bed.gz	ENCODE3 hg19	archived	low read length, borderline replicate concordance, low read depth		
ENCFF396VHM	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR771SNW	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-1000, 300-800	1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF405QLV/, /files/ENCFF485GXE/, /files/ENCFF384XYJ/	35938	ENCODE Processing Pipeline	e01926173bcf1fc929ab2f789d8a4999		https://www.encodeproject.org/files/ENCFF396VHM/@@download/ENCFF396VHM.bed.gz				released	s3://encode-public/2016/12/03/4edde304-6c00-4b93-b014-8b7f5dd702ea/ENCFF396VHM.bed.gz	ENCODE3 hg19	archived	low read length, borderline replicate concordance, low read depth		
ENCFF485WCF	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR771SNW	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-1000, 300-800	1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF405QLV/, /files/ENCFF485GXE/, /files/ENCFF384XYJ/	50127	ENCODE Processing Pipeline	64865d8a339096577e031f83de5b9e37		https://www.encodeproject.org/files/ENCFF485WCF/@@download/ENCFF485WCF.bed.gz				released	s3://encode-public/2016/12/03/fcd8c9d0-d4ea-45ca-8034-31249a4b3955/ENCFF485WCF.bed.gz	ENCODE3 hg19	archived	low read length, borderline replicate concordance, low read depth		
ENCFF756MTY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR771SNW	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-1000, 300-800	2	2_1							/files/ENCFF109TZK/, /files/ENCFF853FRF/, /files/ENCFF356LFX/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF451YMU/	9014	ENCODE Processing Pipeline	beceee5ac8d30a825168d800d52e19cd		https://www.encodeproject.org/files/ENCFF756MTY/@@download/ENCFF756MTY.bed.gz				released	s3://encode-public/2021/03/19/97c55038-2a1a-4c5f-a630-a7158a70ac1a/ENCFF756MTY.bed.gz	ENCODE4 v1.7.1 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF992YKB	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR771SNW	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-1000, 300-800	1, 2	1_1, 2_1							/files/ENCFF109TZK/, /files/ENCFF883DLQ/, /files/ENCFF853FRF/, /files/ENCFF356LFX/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF451YMU/	33237	ENCODE Processing Pipeline	5a67574b9c7af3b0bf493d7621859888		https://www.encodeproject.org/files/ENCFF992YKB/@@download/ENCFF992YKB.bed.gz				released	s3://encode-public/2021/03/19/1ee9d8f7-fdc8-4fad-a7e4-8e5f881065ff/ENCFF992YKB.bed.gz	ENCODE4 v1.7.1 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF891TAW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR771SNW	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-1000, 300-800	1	1_1							/files/ENCFF883DLQ/, /files/ENCFF853FRF/, /files/ENCFF356LFX/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF451YMU/	52897	ENCODE Processing Pipeline	1ff293b986ab2aeacd9180f932b8324d		https://www.encodeproject.org/files/ENCFF891TAW/@@download/ENCFF891TAW.bed.gz				released	s3://encode-public/2021/03/19/18424eab-9eb2-42ef-9b95-d112e2646822/ENCFF891TAW.bed.gz	ENCODE4 v1.7.1 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF483UZG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR771SNW	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-1000, 300-800	1, 2	1_1, 2_1							/files/ENCFF109TZK/, /files/ENCFF883DLQ/, /files/ENCFF853FRF/, /files/ENCFF356LFX/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF451YMU/	48511	ENCODE Processing Pipeline	34fd32b4f5a28760983894a80922622b		https://www.encodeproject.org/files/ENCFF483UZG/@@download/ENCFF483UZG.bed.gz				released	s3://encode-public/2021/03/19/fc7d8e98-29d3-4808-bccb-e1d8bae33066/ENCFF483UZG.bed.gz	ENCODE4 v1.7.1 GRCh38	released	low read length, borderline replicate concordance, low read depth		
ENCFF377LKC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR784VUY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RNF2-human	DNA						2016-12-06	ENCODE		sonication (generic)	200-900, 300-1000	1	1_1							/files/ENCFF727XHW/, /files/ENCFF493YQC/, /files/ENCFF243MTV/	6652352	ENCODE Processing Pipeline	882e2b68361a10f4be5370cb66bc15bc		https://www.encodeproject.org/files/ENCFF377LKC/@@download/ENCFF377LKC.bed.gz				released	s3://encode-public/2016/12/03/759cb190-61f2-4150-a471-c6e9fd65979b/ENCFF377LKC.bed.gz	ENCODE3 hg19	archived	low read length, low read depth, borderline replicate concordance, antibody characterized with exemption, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	missing control alignments
ENCFF121NTB	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR784VUY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RNF2-human	DNA						2016-12-06	ENCODE		sonication (generic)	200-900, 300-1000	1, 2	1_1, 2_1							/files/ENCFF980QXM/, /files/ENCFF727XHW/, /files/ENCFF493YQC/, /files/ENCFF243MTV/	7193712	ENCODE Processing Pipeline	12d2efd0a123c9c5cc063dc58079c57c		https://www.encodeproject.org/files/ENCFF121NTB/@@download/ENCFF121NTB.bed.gz				released	s3://encode-public/2016/12/03/9646497e-ba33-4ad8-a6ff-006f66c2a0e6/ENCFF121NTB.bed.gz	ENCODE3 hg19	archived	low read length, low read depth, borderline replicate concordance, antibody characterized with exemption, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	missing control alignments
ENCFF739OBK	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR784VUY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RNF2-human	DNA						2016-12-06	ENCODE		sonication (generic)	200-900, 300-1000	2	2_1							/files/ENCFF980QXM/, /files/ENCFF727XHW/, /files/ENCFF243MTV/	6784905	ENCODE Processing Pipeline	d008bca9f779d0d2c3a544ab46b011fa		https://www.encodeproject.org/files/ENCFF739OBK/@@download/ENCFF739OBK.bed.gz				released	s3://encode-public/2016/12/03/904a5cab-41dc-4f36-aa7d-be7553483a0b/ENCFF739OBK.bed.gz	ENCODE3 hg19	archived	low read length, low read depth, borderline replicate concordance, antibody characterized with exemption, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	missing control alignments
ENCFF438AHF	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR784VUY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RNF2-human	DNA						2016-12-06	ENCODE		sonication (generic)	200-900, 300-1000	1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF121NTB/, /files/ENCFF377LKC/, /files/ENCFF739OBK/	123696	ENCODE Processing Pipeline	4110b79850179b95b31d38aa7db4712e		https://www.encodeproject.org/files/ENCFF438AHF/@@download/ENCFF438AHF.bed.gz				released	s3://encode-public/2016/12/03/8cbdea44-c181-4563-abc5-f43b5ce6e971/ENCFF438AHF.bed.gz	ENCODE3 hg19	archived	low read length, low read depth, borderline replicate concordance, antibody characterized with exemption, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	missing control alignments
ENCFF193YAN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR784VUY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RNF2-human	DNA						2016-12-06	ENCODE		sonication (generic)	200-900, 300-1000	1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF121NTB/, /files/ENCFF377LKC/, /files/ENCFF739OBK/	193664	ENCODE Processing Pipeline	a67c8791173fbb24fb6a7a9bd69ebf8d		https://www.encodeproject.org/files/ENCFF193YAN/@@download/ENCFF193YAN.bed.gz				released	s3://encode-public/2016/12/03/9607977c-8346-4594-9795-2ac982239863/ENCFF193YAN.bed.gz	ENCODE3 hg19	archived	low read length, low read depth, borderline replicate concordance, antibody characterized with exemption, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	missing control alignments
ENCFF094ABD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR784VUY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RNF2-human	DNA						2016-12-06	ENCODE		sonication (generic)	200-900, 300-1000	1	1_1							/files/ENCFF354ELR/	6574700	ENCODE Processing Pipeline	65520bacb53c7c71eb88035fe40ac2f4		https://www.encodeproject.org/files/ENCFF094ABD/@@download/ENCFF094ABD.bed.gz				released	s3://encode-public/2016/12/10/5621b22e-5619-4037-8cb2-ca0477bcc39c/ENCFF094ABD.bed.gz	ENCODE3 GRCh38	archived	low read length, low read depth, borderline replicate concordance, antibody characterized with exemption, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	missing control alignments
ENCFF134PWC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR784VUY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RNF2-human	DNA						2016-12-06	ENCODE		sonication (generic)	200-900, 300-1000	2	2_1							/files/ENCFF180DGV/	6714510	ENCODE Processing Pipeline	dc04d601e1c6aedd02a2fbb37954804e		https://www.encodeproject.org/files/ENCFF134PWC/@@download/ENCFF134PWC.bed.gz				released	s3://encode-public/2016/12/10/3321dc43-dc98-4f7c-8e1b-66d789bad4fd/ENCFF134PWC.bed.gz	ENCODE3 GRCh38	archived	low read length, low read depth, borderline replicate concordance, antibody characterized with exemption, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	missing control alignments
ENCFF283MNG	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR784VUY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RNF2-human	DNA						2016-12-06	ENCODE		sonication (generic)	200-900, 300-1000	1, 2	1_1, 2_1							/files/ENCFF094ABD/, /files/ENCFF419RSJ/, /files/ENCFF134PWC/, /files/ENCFF186BRO/	193485	ENCODE Processing Pipeline	945422171ef459e0fc87ab580a2cfda8		https://www.encodeproject.org/files/ENCFF283MNG/@@download/ENCFF283MNG.bed.gz				released	s3://encode-public/2016/12/10/3abb29a3-e31b-46ee-b6f7-f2d0e167131a/ENCFF283MNG.bed.gz	ENCODE3 GRCh38	archived	low read length, low read depth, borderline replicate concordance, antibody characterized with exemption, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	missing control alignments
